GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByPrimaryKeySelectiveMethodGenerator,81,0,4,0,19,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,AbstractJavaMapperMethodGenerator,207,0,12,0,50,0,9,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,DeleteByExampleMethodGenerator,68,0,2,0,17,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,InsertMethodGenerator,80,0,4,0,20,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByPrimaryKeyWithBLOBsMethodGenerator,81,0,4,0,19,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByExampleSelectiveMethodGenerator,93,0,2,0,20,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByExampleWithBLOBsMethodGenerator,108,0,4,0,23,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,SelectByExampleWithoutBLOBsMethodGenerator,113,0,6,0,26,0,6,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,InsertSelectiveMethodGenerator,66,0,2,0,17,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByExampleWithoutBLOBsMethodGenerator,108,0,4,0,23,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,SelectByExampleWithBLOBsMethodGenerator,101,0,4,0,24,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.exception,ShellException,16,0,0,0,8,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.exception,InvalidConfigurationException,25,0,4,0,7,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.exception,XMLParserException,39,0,4,0,11,0,6,0,4,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Element,3,0,0,0,2,0,1,0,1,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Attribute,61,0,6,0,17,0,8,0,5,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Document,85,0,4,0,25,0,9,0,7,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,TextElement,24,0,0,0,8,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,XmlElement,172,0,6,0,45,0,13,0,10,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.sqlmap,SqlMapGenerator,400,0,40,0,114,0,43,0,23,0
MyBatis Generator Core,org.mybatis.generator.internal.rules,HierarchicalModelRules,16,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.internal.rules,ConditionalModelRules,65,0,16,0,7,0,13,0,5,0
MyBatis Generator Core,org.mybatis.generator.internal.rules,BaseRules,491,0,144,0,104,0,97,0,25,0
MyBatis Generator Core,org.mybatis.generator.internal.rules,FlatModelRules,10,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.internal.rules,RulesDelegate,114,0,0,0,30,0,28,0,28,0
MyBatis Generator Core,org.mybatis.generator.config.xml,ConfigurationParser,208,0,16,0,50,0,16,0,8,0
MyBatis Generator Core,org.mybatis.generator.config.xml,MyBatisGeneratorConfigurationParser,1522,0,216,0,402,0,132,0,24,0
MyBatis Generator Core,org.mybatis.generator.config.xml,IbatorConfigurationParser,336,0,50,0,84,0,30,0,5,0
MyBatis Generator Core,org.mybatis.generator.config.xml,ParserEntityResolver,39,0,4,0,11,0,4,0,2,0
MyBatis Generator Core,org.mybatis.generator.config.xml,ParserErrorHandler,45,0,0,0,10,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.internal.util.messages,Messages,104,0,0,0,15,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.ant,AntProgressCallback,18,0,2,0,7,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.ant,GeneratorAntTask,270,0,26,0,71,0,26,0,13,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao,DAOGenerator,552,0,48,0,133,0,45,0,21,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithoutBLOBsMethodGenerator,263,0,14,0,53,0,12,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByPrimaryKeySelectiveMethodGenerator,238,0,16,0,43,0,10,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,AbstractJavaProviderMethodGenerator,21,0,2,0,7,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithoutBLOBsMethodGenerator,230,0,10,0,44,0,10,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleSelectiveMethodGenerator,272,0,14,0,49,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithBLOBsMethodGenerator,21,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderInsertSelectiveMethodGenerator,202,0,18,0,38,0,11,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderDeleteByExampleMethodGenerator,137,0,6,0,30,0,5,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderCountByExampleMethodGenerator,144,0,6,0,32,0,5,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithBLOBsMethodGenerator,21,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderApplyWhereMethodGenerator,573,0,14,0,34,0,10,0,3,0
MyBatis Generator Core,org.mybatis.generator.api.dom,OutputUtilities,95,0,10,0,27,0,11,0,6,0
MyBatis Generator Core,org.mybatis.generator.api.dom,DefaultJavaFormatter,10,0,0,0,4,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.api.dom,DefaultXmlFormatter,10,0,0,0,4,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.internal,XmlFileMergerJaxp,383,0,52,0,88,0,32,0,6,0
MyBatis Generator Core,org.mybatis.generator.internal,ExtendedDAOMethodNameCalculator,389,0,20,0,97,0,25,0,15,0
MyBatis Generator Core,org.mybatis.generator.internal,PluginAggregator,1906,0,302,0,537,0,232,0,81,0
MyBatis Generator Core,org.mybatis.generator.internal,DefaultCommentGenerator,923,0,136,0,215,0,85,0,17,0
MyBatis Generator Core,org.mybatis.generator.internal,XmlFileMergerJaxp.NullEntityResolver,13,0,0,0,3,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.internal,DefaultDAOMethodNameCalculator,99,0,20,0,42,0,25,0,15,0
MyBatis Generator Core,org.mybatis.generator.internal,NullProgressCallback,9,0,0,0,8,0,7,0,7,0
MyBatis Generator Core,org.mybatis.generator.internal,ObjectFactory,375,0,48,0,118,0,43,0,19,0
MyBatis Generator Core,org.mybatis.generator.internal,DomWriter,615,0,88,0,162,0,65,0,15,0
MyBatis Generator Core,org.mybatis.generator.internal,DefaultShellCallback,83,0,8,0,23,0,11,0,7,0
MyBatis Generator Core,org.mybatis.generator.internal,JDBCConnectionFactory,142,0,6,0,37,0,8,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByPrimaryKeyWithoutBLOBsMethodGenerator,143,0,6,0,32,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByExampleSelectiveMethodGenerator,189,0,12,0,38,0,10,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,CountByExampleMethodGenerator,161,0,10,0,36,0,9,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByExampleParmsInnerclassGenerator,120,0,0,0,31,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,SelectByExampleWithoutBLOBsMethodGenerator,210,0,16,0,47,0,12,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,DeleteByExampleMethodGenerator,148,0,8,0,33,0,8,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,AbstractDAOElementGenerator,123,0,20,0,33,0,14,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,InsertMethodGenerator,236,0,18,0,59,0,13,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,SelectByExampleWithBLOBsMethodGenerator,198,0,14,0,45,0,11,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,DeleteByPrimaryKeyMethodGenerator,263,0,14,0,58,0,11,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByExampleWithBLOBsMethodGenerator,176,0,10,0,37,0,9,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByPrimaryKeySelectiveMethodGenerator,156,0,8,0,34,0,8,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByPrimaryKeyWithBLOBsMethodGenerator,156,0,8,0,34,0,8,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,InsertSelectiveMethodGenerator,234,0,18,0,58,0,13,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,UpdateByExampleWithoutBLOBsMethodGenerator,176,0,10,0,37,0,9,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.elements,SelectByPrimaryKeyMethodGenerator,289,0,14,0,64,0,11,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen,AbstractXmlGenerator,3,0,0,0,1,0,1,0,1,0
MyBatis Generator Core,org.mybatis.generator.codegen,AbstractJavaClientGenerator,9,0,0,0,4,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen,AbstractGenerator,31,0,0,0,14,0,9,0,9,0
MyBatis Generator Core,org.mybatis.generator.codegen,RootClassInfo,180,0,22,0,50,0,16,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen,AbstractJavaGenerator,91,0,2,0,24,0,5,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen,XmlConstants,3,0,0,0,2,0,1,0,1,0
MyBatis Generator Core,org.mybatis.generator.internal.types,JdbcTypeNameTranslator,445,0,4,0,81,0,6,0,4,0
MyBatis Generator Core,org.mybatis.generator.internal.types,JavaTypeResolverDefaultImpl.JdbcTypeInformation,15,0,0,0,6,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.internal.types,JavaTypeResolverDefaultImpl,652,0,19,0,74,0,19,0,9,0
MyBatis Generator Core,org.mybatis.generator.plugins,VirtualPrimaryKeyPlugin,30,0,4,0,10,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,SqlMapConfigPlugin,225,0,6,0,45,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,RowBoundsPlugin,181,0,18,0,44,0,18,0,9,0
MyBatis Generator Core,org.mybatis.generator.plugins,SerializablePlugin,111,0,4,0,31,0,9,0,7,0
MyBatis Generator Core,org.mybatis.generator.plugins,ToStringPlugin,134,0,8,0,36,0,11,0,7,0
MyBatis Generator Core,org.mybatis.generator.plugins,EqualsHashCodePlugin,634,0,48,0,166,0,32,0,8,0
MyBatis Generator Core,org.mybatis.generator.plugins,FluentBuilderMethodsPlugin,75,0,0,0,13,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,CaseInsensitiveLikePlugin,135,0,12,0,35,0,9,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,RenameExampleClassPlugin,76,0,10,0,17,0,8,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,MybatisServicePlugin,1579,0,93,0,359,0,70,0,22,0
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin,67,0,6,0,15,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,MapperConfigPlugin,163,0,6,0,34,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin.CacheProperty,90,0,0,0,12,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3,MyBatis3FormattingUtilities,238,0,20,0,57,0,19,0,9,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3,ListUtilities,54,0,10,0,13,0,8,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3,IntrospectedTableMyBatis3Impl,355,0,40,0,84,0,33,0,13,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3,IntrospectedTableMyBatis3SimpleImpl,85,0,12,0,23,0,10,0,4,0
MyBatis Generator Core,org.mybatis.generator.api,GeneratedXmlFile,34,0,0,0,11,0,5,0,5,0
MyBatis Generator Core,org.mybatis.generator.api,IntrospectedTable.TargetRuntime,38,0,0,0,3,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.api,PluginAdapter,174,0,0,0,85,0,81,0,81,0
MyBatis Generator Core,org.mybatis.generator.api,GeneratedFile,12,0,0,0,5,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.api,IntrospectedTable.InternalAttribute,388,0,0,0,38,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.api,ShellRunner,450,0,60,0,115,0,36,0,6,0
MyBatis Generator Core,org.mybatis.generator.api,GeneratedJavaFile,51,0,0,0,13,0,8,0,8,0
MyBatis Generator Core,org.mybatis.generator.api,MyBatisGenerator,564,0,54,0,130,0,38,0,11,0
MyBatis Generator Core,org.mybatis.generator.api,Plugin.ModelClassType,48,0,0,0,4,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.api,FullyQualifiedTable,462,0,72,0,102,0,53,0,17,0
MyBatis Generator Core,org.mybatis.generator.api,IntrospectedTable,1655,0,106,0,414,0,182,0,129,0
MyBatis Generator Core,org.mybatis.generator.api,IntrospectedColumn,356,0,44,0,95,0,72,0,50,0
MyBatis Generator Core,org.mybatis.generator.api,VerboseProgressCallback,7,0,0,0,4,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByExampleWithBLOBsMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByPrimaryKeyWithBLOBsMethodGenerator,173,0,12,0,48,0,8,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedDeleteByExampleMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedSelectAllMethodGenerator,304,0,24,0,79,0,15,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedInsertMethodGenerator,199,0,16,0,54,0,10,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByPrimaryKeyWithoutBLOBsMethodGenerator,186,0,14,0,51,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedInsertSelectiveMethodGenerator,59,0,2,0,15,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedSelectByExampleWithoutBLOBsMethodGenerator,182,0,14,0,42,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedSelectByPrimaryKeyMethodGenerator,393,0,34,0,95,0,21,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedSelectByExampleWithBLOBsMethodGenerator,182,0,14,0,42,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByPrimaryKeySelectiveMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByExampleSelectiveMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedCountByExampleMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedUpdateByExampleWithoutBLOBsMethodGenerator,48,0,0,0,12,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.annotated,AnnotatedDeleteByPrimaryKeyMethodGenerator,107,0,6,0,30,0,5,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.templates,GenericSIDAOTemplate,121,0,0,0,42,0,11,0,11,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.templates,GenericCIDAOTemplate,87,0,0,0,31,0,10,0,10,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.templates,IbatisDAOTemplate,66,0,0,0,24,0,9,0,9,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.templates,SpringDAOTemplate,47,0,0,0,20,0,8,0,8,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.dao.templates,AbstractDAOTemplate,485,0,18,0,129,0,41,0,32,0
MyBatis Generator Core,org.mybatis.generator.logging,LogFactory.Log4jLoggingLogFactory,8,0,0,0,2,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.logging,JdkLoggingImpl,80,0,0,0,21,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.logging,LogFactory,44,0,0,0,15,0,5,0,5,0
MyBatis Generator Core,org.mybatis.generator.logging,Log4jImpl,32,0,0,0,12,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.logging,LogFactory.JdkLoggingLogFactory,8,0,0,0,2,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,MixedClientGenerator,83,0,10,0,23,0,12,0,7,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,AnnotatedClientGenerator,246,0,30,0,69,0,32,0,17,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,SimpleJavaClientGenerator,204,0,16,0,56,0,19,0,11,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,SimpleAnnotatedClientGenerator,76,0,8,0,22,0,11,0,7,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,JavaMapperGenerator,365,0,36,0,103,0,38,0,20,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper,SqlProviderGenerator,324,0,24,0,84,0,25,0,13,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2,IntrospectedTableIbatis2Java5Impl,5,0,0,0,2,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2,IntrospectedTableIbatis2Java2Impl,359,0,28,0,73,0,25,0,11,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2,Ibatis2FormattingUtilities,289,0,26,0,69,0,22,0,9,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.model,SimpleModelGenerator,338,0,32,0,78,0,20,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.model,PrimaryKeyGenerator,254,0,22,0,55,0,14,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.model,BaseRecordGenerator,416,0,50,0,91,0,32,0,7,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.model,RecordWithBLOBsGenerator,316,0,28,0,68,0,17,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.model,ExampleGenerator,2641,0,62,0,655,0,51,0,20,0
MyBatis Generator Core,org.mybatis.generator.config,JavaModelGeneratorConfiguration,71,0,8,0,20,0,11,0,7,0
MyBatis Generator Core,org.mybatis.generator.config,MergeConstants,34,0,0,0,4,0,2,0,2,0
MyBatis Generator Core,org.mybatis.generator.config,TypedPropertyHolder,14,0,2,0,6,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.config,CommentGeneratorConfiguration,24,0,2,0,7,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.config,Configuration,170,0,18,0,41,0,17,0,8,0
MyBatis Generator Core,org.mybatis.generator.config,ColumnOverride,151,0,14,0,41,0,23,0,16,0
MyBatis Generator Core,org.mybatis.generator.config,IgnoredColumnException,42,0,4,0,10,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.config,GeneratedKey,174,0,28,0,36,0,24,0,10,0
MyBatis Generator Core,org.mybatis.generator.config,ModelType,85,0,6,0,15,0,9,0,6,0
MyBatis Generator Core,org.mybatis.generator.config,JDBCConnectionConfiguration,100,0,8,0,28,0,15,0,11,0
MyBatis Generator Core,org.mybatis.generator.config,ConnectionFactoryConfiguration,58,0,10,0,13,0,8,0,3,0
MyBatis Generator Core,org.mybatis.generator.config,SqlMapGeneratorConfiguration,71,0,8,0,20,0,11,0,7,0
MyBatis Generator Core,org.mybatis.generator.config,JavaClientGeneratorConfiguration,110,0,14,0,29,0,16,0,9,0
MyBatis Generator Core,org.mybatis.generator.config,PluginConfiguration,35,0,4,0,10,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.config,PropertyHolder,61,0,2,0,16,0,6,0,5,0
MyBatis Generator Core,org.mybatis.generator.config,TableConfiguration,853,0,120,0,209,0,120,0,60,0
MyBatis Generator Core,org.mybatis.generator.config,PropertyRegistry,3,0,0,0,1,0,1,0,1,0
MyBatis Generator Core,org.mybatis.generator.config,Context,758,0,100,0,189,0,91,0,41,0
MyBatis Generator Core,org.mybatis.generator.config,IgnoredColumnPattern,92,0,10,0,24,0,10,0,5,0
MyBatis Generator Core,org.mybatis.generator.config,IgnoredColumn,96,0,12,0,24,0,15,0,9,0
MyBatis Generator Core,org.mybatis.generator.config,JavaTypeResolverConfiguration,24,0,2,0,7,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.config,ColumnRenamingRule,54,0,4,0,15,0,9,0,7,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,JavaDomUtils,112,0,18,0,22,0,15,0,6,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,Field,153,0,12,0,47,0,20,0,14,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,InnerClass,402,0,42,0,120,0,43,0,22,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,Parameter,113,0,4,0,32,0,13,0,11,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,Interface,340,0,30,0,94,0,34,0,19,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,InnerEnum,345,0,36,0,102,0,33,0,15,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,JavaReservedWords,244,0,4,0,11,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,FullyQualifiedJavaType,785,0,96,0,205,0,82,0,34,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,TopLevelEnumeration,196,0,18,0,50,0,22,0,13,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,PrimitiveTypeWrapper,90,0,16,0,28,0,18,0,10,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,JavaElement,134,0,4,0,43,0,18,0,16,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,TopLevelClass,209,0,20,0,53,0,24,0,14,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,InitializationBlock,176,0,20,0,56,0,22,0,12,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,Method,423,0,46,0,122,0,48,0,25,0
MyBatis Generator Core,org.mybatis.generator.api.dom.java,JavaVisibility,68,0,0,0,9,0,5,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,UpdateByExampleSelectiveElementGenerator,146,0,4,0,30,0,4,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,CountByExampleElementGenerator,77,0,2,0,16,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,ResultMapWithoutBLOBsElementGenerator,337,0,28,0,64,0,18,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,SelectByPrimaryKeyElementGenerator,217,0,16,0,44,0,10,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,ExampleWhereClauseElementGenerator,444,0,20,0,96,0,13,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.xmlmapper.elements,UpdateByExampleWithoutBLOBsElementGenerator,125,0,8,0,29,0,6,0,2,0
